"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"16384","DESKTOP-CV71TUK","System.Byte[]","642","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-05T04:40:25Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/3/2023 11:42:25 PM","12/3/2023 11:42:25 PM",,,
"8198","DESKTOP-CV71TUK","System.Byte[]","641","(0)","0","Error","License Activation (slui.exe) failed with the following error code:
hr=0xC004F074
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee;NotificationInterval=1440;Trigger=TimerEvent","Software Protection Platform Service","System.String[]","3221233670","12/3/2023 11:41:55 PM","12/3/2023 11:41:55 PM",,,
"1003","DESKTOP-CV71TUK","System.Byte[]","640","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0724cb7d-3437-4cb7-93cb-830375d0079d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 135c4b88-f555-4779-abf6-4c1365d279b6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 30a42c86-b7a0-4a34-8c90-ff177cb2acb7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: 60b3ec1b-9545-4921-821f-311b129dd6f6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 632ffa10-3b75-4180-aed9-4e799a44563b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 7a802526-4c94-4bd1-ba14-835a1aca2120, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 90da7373-1c51-430b-bf26-c97e9c5cdc31, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 97348f2f-bebc-4653-a4bd-18a895d316d9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: d06934ee-5448-4fd1-964a-cd077618aa06, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: d552befb-48cc-4327-8f39-47d2d94f987c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: ed655016-a9e8-4434-95d9-4345352c2552, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","12/3/2023 11:41:55 PM","12/3/2023 11:41:55 PM",,,
"1003","DESKTOP-CV71TUK","System.Byte[]","639","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0724cb7d-3437-4cb7-93cb-830375d0079d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 135c4b88-f555-4779-abf6-4c1365d279b6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 30a42c86-b7a0-4a34-8c90-ff177cb2acb7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: 60b3ec1b-9545-4921-821f-311b129dd6f6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 632ffa10-3b75-4180-aed9-4e799a44563b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 7a802526-4c94-4bd1-ba14-835a1aca2120, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 90da7373-1c51-430b-bf26-c97e9c5cdc31, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 97348f2f-bebc-4653-a4bd-18a895d316d9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: d06934ee-5448-4fd1-964a-cd077618aa06, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: d552befb-48cc-4327-8f39-47d2d94f987c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: ed655016-a9e8-4434-95d9-4345352c2552, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","12/3/2023 11:41:55 PM","12/3/2023 11:41:55 PM",,,
"12288","DESKTOP-CV71TUK","System.Byte[]","638","(0)","0","Information","The client has sent an activation request to the key management service machine.
Info:
0xC0020017, 0x00000000, promethium.champlain.edu:1688, 2b489812-d541-4258-93cb-91a8acb959da, 2023/12/04 04:41, 1, 5, 0, 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 25","Software Protection Platform Service","System.String[]","1073754112","12/3/2023 11:41:55 PM","12/3/2023 11:41:55 PM",,,
"12288","DESKTOP-CV71TUK","System.Byte[]","637","(0)","0","Information","The client has sent an activation request to the key management service machine.
Info:
0xC0020017, 0x00000000, promethium.champlain.edu:1688, 2b489812-d541-4258-93cb-91a8acb959da, 2023/12/04 04:41, 1, 5, 0, 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 25","Software Protection Platform Service","System.String[]","1073754112","12/3/2023 11:41:31 PM","12/3/2023 11:41:31 PM",,,
"16394","DESKTOP-CV71TUK","System.Byte[]","636","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/3/2023 11:40:18 PM","12/3/2023 11:40:18 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","635","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/3/2023 8:05:15 PM","12/3/2023 8:05:15 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","634","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/3/2023 3:05:16 PM","12/3/2023 3:05:16 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","633","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/3/2023 10:04:51 AM","12/3/2023 10:04:51 AM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","632","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/3/2023 5:05:04 AM","12/3/2023 5:05:04 AM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","631","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/3/2023 12:05:46 AM","12/3/2023 12:05:46 AM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","630","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-04T04:40:18Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/3/2023 12:02:18 AM","12/3/2023 12:02:18 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","629","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/3/2023 12:01:53 AM","12/3/2023 12:01:53 AM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","628","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/3/2023 12:01:53 AM","12/3/2023 12:01:53 AM",,,
"16394","DESKTOP-CV71TUK","System.Byte[]","627","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/3/2023 12:01:46 AM","12/3/2023 12:01:46 AM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","626","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/2/2023 11:59:47 PM","12/2/2023 11:59:47 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","625","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:52:12 PM","12/2/2023 11:52:12 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","624","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:52:11 PM","12/2/2023 11:52:11 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","623","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:56 PM","12/2/2023 11:51:56 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","622","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:56 PM","12/2/2023 11:51:56 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","621","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:54 PM","12/2/2023 11:51:54 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","620","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:54 PM","12/2/2023 11:51:54 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","619","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:52 PM","12/2/2023 11:51:52 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","618","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:52 PM","12/2/2023 11:51:52 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","617","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:50 PM","12/2/2023 11:51:50 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","616","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:50 PM","12/2/2023 11:51:50 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","615","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:48 PM","12/2/2023 11:51:48 PM",,,
"15","DESKTOP-CV71TUK","System.Byte[]","614","(0)","0","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","15","12/2/2023 11:51:48 PM","12/2/2023 11:51:48 PM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","613","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-04T04:40:46Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/2/2023 11:51:46 PM","12/2/2023 11:51:46 PM",,,
"16394","DESKTOP-CV71TUK","System.Byte[]","612","(0)","0","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","3221241866","12/2/2023 11:51:04 PM","12/2/2023 11:51:04 PM",,,
"0","DESKTOP-CV71TUK","System.Byte[]","611","(0)","0","Information","The description for Event ID '0' in Source 'gupdate' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","gupdate","System.String[]","0","12/2/2023 11:48:28 PM","12/2/2023 11:48:28 PM",,,
"16384","DESKTOP-CV71TUK","System.Byte[]","610","(0)","0","Information","Successfully scheduled Software Protection service for re-start at 2023-12-04T04:40:32Z. Reason: RulesEngine.","Software Protection Platform Service","System.String[]","1073758208","12/2/2023 11:42:32 PM","12/2/2023 11:42:32 PM",,,
"4111","DESKTOP-CV71TUK","System.Byte[]","609","(0)","0","Information","Successful auto update of third-party root list with effective date: ?Tuesday, ?November ?7, ?2023 3:36:34 PM.","Microsoft-Windows-CAPI2","System.String[]","4111","12/2/2023 11:42:08 PM","12/2/2023 11:42:08 PM",,,
"12288","DESKTOP-CV71TUK","System.Byte[]","608","(0)","0","Information","The client has sent an activation request to the key management service machine.
Info:
0xC0020017, 0x00000000, promethium.champlain.edu:1688, 2b489812-d541-4258-93cb-91a8acb959da, 2023/12/03 04:41, 1, 5, 0, 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 25","Software Protection Platform Service","System.String[]","1073754112","12/2/2023 11:42:02 PM","12/2/2023 11:42:02 PM",,,
"8198","DESKTOP-CV71TUK","System.Byte[]","607","(0)","0","Error","License Activation (slui.exe) failed with the following error code:
hr=0xC004F074
Command-line arguments:
RuleId=eeba1977-569e-4571-b639-7623d8bfecc0;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee;NotificationInterval=1440;Trigger=TimerEvent","Software Protection Platform Service","System.String[]","3221233670","12/2/2023 11:41:56 PM","12/2/2023 11:41:56 PM",,,
"1003","DESKTOP-CV71TUK","System.Byte[]","606","(0)","0","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: 0724cb7d-3437-4cb7-93cb-830375d0079d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
2: 135c4b88-f555-4779-abf6-4c1365d279b6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
3: 30a42c86-b7a0-4a34-8c90-ff177cb2acb7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
4: 32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee, 1, 1 [(0 [0xC004E003, 0, 0], [( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)( 1 0x00000000)(?)( 2 0xC004F056 0 0 msft:rm/algorithm/volume/1.0 0x00000000 0)(?)(?)(?)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F056)])]
5: 60b3ec1b-9545-4921-821f-311b129dd6f6, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
6: 632ffa10-3b75-4180-aed9-4e799a44563b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
7: 7a802526-4c94-4bd1-ba14-835a1aca2120, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
8: 90da7373-1c51-430b-bf26-c97e9c5cdc31, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
9: 97348f2f-bebc-4653-a4bd-18a895d316d9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
10: d06934ee-5448-4fd1-964a-cd077618aa06, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
11: d552befb-48cc-4327-8f39-47d2d94f987c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]
12: ed655016-a9e8-4434-95d9-4345352c2552, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

","Software Protection Platform Service","System.String[]","1073742827","12/2/2023 11:41:56 PM","12/2/2023 11:41:56 PM",,,
